"word_number","word_text","start_address","end_address","notes"
"802","S (plural)","0x9C64","0x9C85",""
"210","A","0x140D","0x143B",""
"211","A.M","0x1D1A","0x1DCC",""
"212","Abort","0x366C","0x36D5",""
"213","About","0x2062","0x20BF",""
"214","Above","0x1ACC","0x1B32",""
"215","Acknowledge","0x1C70","0x1D1A",""
"216","Action","0x21A1","0x2207",""
"217","Adjust","0x1A2B","0x1A8C",""
"218","Advise","0x1BE6","0x1C70",""
"219","Aerial","0x350F","0x3594",""
"220","Affirmative","0x1B32","0x1BE6",""
"221","Again","0x22C8","0x233F",""
"222","Air","0x1A8C","0x1ACC",""
"223","Alert","0x1E9D","0x1EF8",""
"224","All","0x1E37","0x1E6E",""
"225","Alpha","0x2021","0x2062",""
"226","Alternate","0x2207","0x228D",""
"227","Altitude","0x233F","0x23DA",""
"228","Amateur","0x23DA","0x243A",""
"229","Amps","0x20BF","0x20FA",""
"230","An","0x243A","0x2467",""
"231","And","0x20FA","0x2141",""
"232","Answer","0x1DCC","0x1E37",""
"233","April","0x3594","0x35FA",""
"234","Are","0x2467","0x24A0",""
"235","Area","0x2141","0x21A1",""
"236","As","0x228D","0x22C8",""
"237","Assistance","0x24A0","0x2544",""
"238","Association","0x2544","0x25FE",""
"239","At","0x1E6E","0x1E9D",""
"240","Attempt","0x2676","0x26EE",""
"241","Attention","0x25FE","0x2676",""
"242","August","0x35FA","0x366C",""
"243","Automatic","0x1EF8","0x1F76",""
"244","Autopatch","0x1F76","0x2021",""
"245","Auxiliary","0x26EE","0x2783",""
"246","Avenue","0x2783","0x2814",""
"247","Average","0x2814","0x2881",""
"250","B","0x143B","0x146D",""
"326","Due","0x3E98","0x3F03",""
"251","Back","0x2A36","0x2A85",""
"252","Band","0x2B53","0x2BBF",""
"253","Base","0x29FA","0x2A36",""
"254","Battery","0x36D5","0x3737",""
"255","Below","0x297E","0x29FA",""
"256","Between","0x28DE","0x293A",""
"257","Bravo","0x2881","0x28DE",""
"258","Break","0x293A","0x297E",""
"259","Button","0x3737","0x3784",""
"260","By","0x2A85","0x2B53",""
"270","C","0x146D","0x14AF",""
"271","Calibrate","0x32B5","0x3328",""
"272","Call","0x2E03","0x2E5A",""
"273","Calling","0x323A","0x32B5",""
"274","Cancel","0x2F64","0x2FEE",""
"275","Cat","0x2ED4","0x2F09",""
"276","Caution","0x2F09","0x2F64",""
"278","Celsius","0x3784","0x3832",""
"277","Center","0x2D89","0x2E03",""
"279","Change","0x31D1","0x323A",""
"280","Charlie","0x2BBF","0x2C10",""
"281","Check","0x2CC9","0x2D00",""
"964","Chime 1","0xBC0E","0xBC29",""
"965","Chime 2","0xBC29","0xBC44",""
"966","Chime 3","0xBC44","0xBC70",""
"282","Circuit","0x3176","0x31D1",""
"283","Clear","0x3093","0x30EE",""
"284","Clock","0x2FEE","0x302C",""
"285","Closed","0x2D00","0x2D89",""
"286","Club","0x3328","0x3379",""
"287","Code","0x3379","0x33E4",""
"288","Come","0x3832","0x3874",""
"289","Complete","0x2C10","0x2C7C",""
"290","Completed","0x30EE","0x3176",""
"291","Computer","0x33E4","0x347F",""
"292","Condition","0x347F","0x350F",""
"293","Congratulations","0x38EC","0x3990",""
"294","Connect","0x2C7C","0x2CC9",""
"295","Contact","0x2E5A","0x2ED4",""
"296","Control","0x302C","0x3093",""
"297","Current","0x39F7","0x3A40",""
"298","Cycle","0x3990","0x39F7",""
"310","D","0x14AF","0x14E3",""
"413","Go","0x4FE2","0x5008",""
"311","Danger","0x3A40","0x3AD3",""
"312","Data","0x3AD3","0x3B18",""
"313","Date","0x3B18","0x3B6F",""
"314","Day","0x3BC2","0x3BF5",""
"315","Days","0x3BF5","0x3C37",""
"316","December","0x4A1F","0x4AA3",""
"317","Decrease","0x3C37","0x3CA4",""
"318","Degree","0x4AA3","0x4B32",""
"319","Delay","0x3CA4","0x3CFA",""
"320","Delta","0x3B6F","0x3BC2",""
"321","Department","0x3DBC","0x3E48",""
"322","Direction","0x3CFA","0x3D68",""
"323","Do","0x3E48","0x3E98",""
"324","Down","0x3D68","0x3DBC",""
"325","Drizzle","0x4B32","0x4B94",""
"327","Dynamic","0x3F03","0x3FB6",""
"340","E","0x14E3","0x1518",""
"341","East","0x415F","0x41A0",""
"342","Echo","0x411D","0x415F",""
"343","Ed (suffix)","0x3FB6","0x3FEF",""
"8","Eight","0x0870","0x08A3",""
"18","Eighteen","0x0CE4","0x0D54",""
"80","Eighty","0x1059","0x10AB",""
"11","Eleven","0x0931","0x09BC",""
"344","Emergency","0x41A0","0x431F",""
"345","End","0x3FEF","0x4041",""
"346","Enter","0x43CA","0x43FE",""
"347","Equals","0x43FE","0x4468",""
"348","Error","0x431F","0x437C",""
"349","Evacuation","0x4041","0x411D",""
"350","Exit","0x437C","0x43CA",""
"351","Expect","0x4468","0x44D6",""
"370","F","0x1518","0x1552",""
"373","Fahrenheit","0x4B94","0x4C33",""
"371","Fail","0x4545","0x458A",""
"372","Failure","0x4636","0x46A3",""
"374","Fast","0x4770","0x47BE",""
"375","February","0x4D23","0x4DBC",""
"376","Feet","0x45F8","0x4636",""
"15","Fifteen","0x0B2C","0x0BB3",""
"50","Fifty","0x0EFF","0x0F6A",""
"378","File","0x4E17","0x4E7D",""
"379","Filed","0x4C33","0x4CB7",""
"380","Final","0x4CB7","0x4D23",""
"381","Fire","0x480D","0x4860",""
"5","Five","0x07A1","0x07F4",""
"382","Flag","0x470D","0x4770",""
"383","Fog","0x4860","0x48CE",""
"384","For","0x46A3","0x46DD",""
"40","Forty","0x0E92","0x0EFF",""
"4","Four","0x0755","0x07A1",""
"14","Fourteen","0x0A8E","0x0B2C",""
"385","Foxhunt","0x48CE","0x492A",""
"386","Foxtrot","0x44D6","0x4545",""
"387","Freezing","0x492A","0x49B0",""
"388","Frequency","0x458A","0x45F8",""
"389","Friday","0x49B0","0x4A1F",""
"390","From","0x46DD","0x470D",""
"391","Front","0x4DBC","0x4E17",""
"392","Full","0x47BE","0x480D",""
"410","G","0x1552","0x1590",""
"411","Gear","0x4EBD","0x4F10",""
"412","Get","0x4F68","0x4FAA",""
"414","Golf","0x4FAA","0x4FE2",""
"415","Good","0x5008","0x506D",""
"981","Good Afternoon","0xC369","0xC42C",""
"982","Good Evening","0xC42C","0xC4C1",""
"980","Good Morning","0xC2C1","0xC369",""
"416","Green","0x506D","0x50D4",""
"417","Ground","0x4F10","0x4F68",""
"967","Gunshot","0xBFF0","0xC073",""
"440","H","0x1590","0x15CB",""
"441","Hail","0x5B77","0x5BE0",""
"442","Half","0x5338","0x539B",""
"443","Ham","0x539B","0x53F7",""
"444","Hamfest","0x53F7","0x549B",""
"445","Have","0x5266","0x52BD",""
"446","Hazardous","0x5A5E","0x5AD0",""
"447","Heavy","0x5AD0","0x5B12",""
