"000","Zero","0x4FA0","0x4FED"
"001","One","0x4FED","0x5030"
"002","Two","0x5030","0x5067"
"003","Three","0x5067","0x50B3"
"004","Four","0x50B3","0x50FF"
"005","Five","0x50FF","0x5152"
"006","Six","0x5152","0x5184"
"007","Seven","0x5184","0x51CE"
"008","Eight","0x51CE","0x5201"
"009","Nine","0x5201","0x5259"
"010","Ten","0x5259","0x528F"
"011","Eleven","0x528F","0x531A"
"012","Twelve","0x531A","0x5363"
"013","Thirteen","0x5363","0x53EC"
"014","Fourteen","0x53EC","0x548A"
"015","Fifteen","0x548A","0x5511"
"016","Sixteen","0x5511","0x559E"
"017","Seventeen","0x559E","0x5642"
"018","Eighteen","0x5642","0x56B2"
"019","Nineteen","0x56B2","0x574C"
"020","Twenty","0x574C","0x5798"
"021","Thirty","0x5798","0x57F0"
"022","Forty","0x57F0","0x585D"
"023","Fifty","0x585D","0x58C8"
"024","Sixty","0x58C8","0x5934"
"025","Seventy","0x5934","0x59B7"
"026","Eighty","0x59B7","0x5A09"
"027","Ninety","0x5A09","0x5A72"
"200","Ten","0x5D6B","0x5D99"
"201","Eleven","0x6678","0x672A"
"202","Twelve","0x7EE8","0x7F51"
"203","Fourteen","0x642A","0x6490"
"204","Fifteen","0x65CE","0x6678"
"205","Sixteen","0x6AA2","0x6B08"
"206","Seventeen","0x6389","0x63EA"
"207","Eighteen","0x6544","0x65CE"
"208","Twenty","0x6490","0x6544"
"209","Twenty-One","0x6BC9","0x6C40"
"210","Twenty-Two","0x63EA","0x642A"
"211","Twenty-Three","0x67FB","0x6856"
"212","Twenty-Four","0x6795","0x67CC"
"213","Twenty-Five","0x697F","0x69C0"
"214","Twenty-Six","0x6B08","0x6B8E"
"215","Twenty-Seven","0x6C40","0x6CDB"
"216","Twenty-Eight","0x6CDB","0x6D3B"
"217","Twenty-Nine","0x69C0","0x69FB"
"218","Thirty","0x6D3B","0x6D68"
"219","Thirty-One","0x69FB","0x6A42"
"220","Thirty-Two","0x672A","0x6795"
"221","Thirty-Three","0x7E10","0x7E76"
"222","Thirty-Four","0x6D68","0x6DA1"
"223","Thirty-Five","0x6A42","0x6AA2"
"224","Thirty-Six","0x6B8E","0x6BC9"
"225","Thirty-Seven","0x6DA1","0x6E45"
"226","Thirty-Eight","0x6E45","0x6EFF"
"227","Thirty-Nine","0x67CC","0x67FB"
"228","Forty","0x6F77","0x6FEF"
"229","Forty-One","0x6EFF","0x6F77"
"230","Forty-Two","0x7E76","0x7EE8"
"231","Forty-Three","0x6856","0x68D4"
"232","Forty-Four","0x68D4","0x697F"
"233","Forty-Five","0x6FEF","0x7084"
"234","Forty-Six","0x7084","0x7115"
"235","Forty-Seven","0x7115","0x7182"
"236","Fifty","0x5D99","0x5DCB"
"237","Fifty-One","0x7337","0x7386"
"238","Fifty-Two","0x7454","0x74C0"
"239","Fifty-Three","0x72FB","0x7337"
"240","Fifty-Five","0x727F","0x72FB"
"241","Fifty-Six","0x71DF","0x723B"
"242","Fifty-Seven","0x7182","0x71DF"
"243","Fifty-Eight","0x723B","0x727F"
"244","Sixty","0x7386","0x7454"
"245","Seventy","0x5DCB","0x5E0D"
"246","Seventy-One","0x7BB6","0x7C29"
"247","Seventy-Two","0x7704","0x775B"
"248","Seventy-Three","0x7B3B","0x7BB6"
"249","Seventy-Four","0x7865","0x78EF"
"250","Seventy-Five","0x77D5","0x780A"
"251","Seventy-Six","0x780A","0x7865"
"252","Seventy-Seven","0x768A","0x7704"
"253","Seventy-Eight","0x7F51","0x7FFF"
"254","Seventy-Nine","0x7AD2","0x7B3B"
"255","Eighty","0x74C0","0x7511"
"256","Eighty-One","0x75CA","0x7601"
"257","Eighty-Two","0x7A77","0x7AD2"
"258","Eighty-Three","0x7994","0x79EF"
"259","Eighty-Four","0x78EF","0x792D"
"260","Eighty-Five","0x7601","0x768A"
"261","Eighty-Six","0x7C29","0x7C7A"
"262","Eighty-Seven","0x7C7A","0x7CE5"
"263","Eighty-Nine","0x7511","0x757D"
"264","Ninety","0x79EF","0x7A77"
"265","Ninety-One","0x7CE5","0x7D80"
"266","Ninety-Two","0x7D80","0x7E10"
"267","Ninety-Four","0x757D","0x75CA"
"268","Ninety-Five","0x775B","0x77D5"
"269","Ninety-Six","0x792D","0x7994"
"270","Ninety-Eight","0x7FFF","0x8066"
"300","Ten","0x5E0D","0x5E41"
"301","Eleven","0x8066","0x80F9"
"302","Twelve","0x80F9","0x813E"
"303","Thirteen","0x813E","0x8195"
"304","Fourteen","0x81E8","0x821B"
"305","Fifteen","0x821B","0x825D"
"306","Sixteen","0x8FE2","0x9066"
"307","Seventeen","0x825D","0x82CA"
"308","Eighteen","0x9066","0x90F5"
"309","Nineteen","0x82CA","0x8320"
"310","Twenty","0x8195","0x81E8"
"311","Twenty-One","0x83E2","0x846E"
"312","Twenty-Two","0x8320","0x838E"
"313","Twenty-Three","0x846E","0x84BE"
"314","Twenty-Four","0x838E","0x83E2"
"315","Twenty-Five","0x90F5","0x9157"
"316","Twenty-Six","0x84BE","0x8529"
"317","Twenty-Seven","0x8529","0x85DC"
"318","Forty","0x5E41","0x5E76"
"319","Forty-One","0x8785","0x87C6"
"320","Forty-Two","0x8743","0x8785"
"321","Forty-Three","0x85DC","0x8615"
"322","Forty-Four","0x87C6","0x8945"
"323","Forty-Five","0x8615","0x8667"
"324","Forty-Six","0x89F0","0x8A24"
"325","Forty-Seven","0x8A24","0x8A8E"
"326","Forty-Eight","0x8945","0x89A2"
"327","Forty-Nine","0x8667","0x8743"
"328","Fifty","0x89A2","0x89F0"
"329","Fifty-One","0x8A8E","0x8AFC"
"330","Seventy","0x5E76","0x5EB0"
"331","Seventy-One","0x8B6B","0x8BB0"
"332","Seventy-Two","0x8C5C","0x8CC9"
"333","Seventy-Three","0x9157","0x927A"
"334","Seventy-Four","0x8D33","0x8D81"
"335","Seventy-Five","0x927A","0x9313"
"336","Seventy-Six","0x8C1E","0x8C5C"
"337","Seventy-Eight","0x9313","0x9379"
"338","Eighty-One","0x8DD0","0x8E23"
"339","Eighty-Three","0x8E23","0x8E91"
"340","Eighty-Four","0x8CC9","0x8D03"
"341","Eighty-Five","0x8E91","0x8EED"
"342","Eighty-Six","0x8AFC","0x8B6B"
"343","Eighty-Seven","0x8EED","0x8F73"
"344","Eighty-Eight","0x8BB0","0x8C1E"
"345","Eighty-Nine","0x8F73","0x8FE2"
"346","Ninety","0x8D03","0x8D33"
"347","Ninety-Two","0x8D81","0x8DD0"
"400","Ten","0x5EB0","0x5EEE"
"401","Eleven","0x9379","0x93CC"
"402","Twelve","0x9424","0x9466"
"403","Thirteen","0x949E","0x94C4"
"404","Fourteen","0x9466","0x949E"
"405","Fifteen","0x94C4","0x9529"
"406","Sixteen","0x9529","0x9590"
"407","Seventeen","0x93CC","0x9424"
"408","Forty","0x5EEE","0x5F29"
"409","Forty-One","0x9F56","0x9FBF"
"410","Forty-Two","0x97F4","0x9857"
"411","Forty-Three","0x9857","0x98B3"
"412","Forty-Four","0x98B3","0x9957"
"413","Forty-Five","0x9722","0x9779"
"414","Forty-Six","0x9EE4","0x9F56"
"415","Forty-Eight","0x9590","0x95E0"
"416","Forty-Nine","0x9779","0x97BF"
"417","Fifty","0x97BF","0x97F4"
"418","Fifty-Three","0x95E0","0x9656"
"419","Fifty-Four","0x9656","0x96BD"
"420","Fifty-Five","0x96BD","0x9722"
"421","Fifty-Six","0x5A72","0x5AC9"
"422","Seventy","0x5F29","0x5F6A"
"423","Seventy-One","0x9FBF","0xA01C"
"424","Seventy-Two","0xA01C","0xA08C"
"500","Seventy-Three","0x99AB","0x9A42"
"501","Seventy-Four","0x9AA2","0x9B5B"
"502","Seventy-Five","0x9CCF","0x9D1C"
"503","Seventy-Six","0x9D1C","0x9DD5"
"504","Seventy-Seven","0x9957","0x99AB"
"505","Seventy-Eight","0x9B5B","0x9C05"
"506","Seventy-Nine","0x9DFD","0x9EE4"
"507","Eighty","0x9A42","0x9AA2"
"508","Eighty-One","0x9C5D","0x9CCF"
"509","Eighty-Two","0x9C05","0x9C5D"
"510","Eighty-Three","0x9DD5","0x9DFD"
"511","Zero","0x5F6A","0x5FAD"
"512","One","0xA65D","0xA6E9"
"513","Two","0xA08C","0xA0F2"
"514","Three","0xA73E","0xA7BD"
"515","Four","0xA6E9","0xA73E"
"516","Thirty","0x5FAD","0x5FEE"
"517","Thirty-One","0xA141","0xA17C"
"518","Thirty-Two","0xA17C","0xA1D5"
"519","Thirty-Three","0xA0F2","0xA141"
"520","Fifty","0x5FEE","0x602D"
"521","Fifty-Two","0xA5D0","0xA65D"
"522","Fifty-Four","0xA33E","0xA39F"
"523","Fifty-Five","0xA3E4","0xA46C"
"524","Fifty-Six","0xA57C","0xA5D0"
"525","Fifty-Eight","0xA46C","0xA4BC"
"526","Fifty-Nine","0xA1D5","0xA21E"
"527","Sixty","0xA528","0xA57C"
"528","Sixty-One","0xA39F","0xA3E4"
"529","Sixty-Two","0xA4BC","0xA528"
"530","Sixty-Three","0xA21E","0xA29C"
"531","Sixty-Five","0xA7BD","0xA84C"
"532","Sixty-Eight","0xA29C","0xA2CC"
"533","Sixty-Nine","0xA2CC","0xA33E"
"534","Eighty","0x602D","0x606C"
"535","Eighty-One","0xA9F0","0xAA4E"
"536","Eighty-Two","0xA84C","0xA8A3"
